Height,Roughness,Segregation,Diversity
2.40E-06,1.00E-07,0.2000001,0.933333433
2.19E-06,1.00E-07,0.233333433,0.933333433
3.22E-06,1.00E-07,0.2750001,0.805555656
3.41E-06,1.00E-07,0.2750001,0.805555656
3.59E-06,1.00E-07,0.281818282,0.781818282
3.63E-06,1.00E-07,0.281818282,0.781818282
4.28E-06,1.00E-07,0.346026034,0.685652274
3.96E-06,4.83E-07,0.346026034,0.685652274
4.42E-06,8.85E-07,0.401556089,0.613198532
4.32E-06,1.24E-06,0.463084176,0.547301434
4.34E-06,1.12E-06,0.463084176,0.547301434
4.93E-06,1.58E-06,0.480254679,0.524512181
4.60E-06,1.80E-06,0.48024484,0.524512181
5.10E-06,1.98E-06,0.495687164,0.506746398
5.61E-06,1.70E-06,0.495745808,0.506746398
6.57E-06,1.61E-06,0.51291301,0.488768175
7.11E-06,1.36E-06,0.513734713,0.488768175
8.69E-06,1.04E-06,0.499015994,0.503046423
2.38E-06,1.00E-07,0.2000001,0.933333433
2.85E-06,1.00E-07,0.238095338,0.857142957
2.20E-06,1.00E-07,0.29047629,0.838095338
3.39E-06,1.00E-07,0.306666767,0.755555656
3.39E-06,1.00E-07,0.306666767,0.755555656
3.96E-06,1.00E-07,0.379166767,0.6500001
3.98E-06,1.00E-07,0.379166767,0.6500001
3.96E-06,5.26E-07,0.420418889,0.595072588
3.96E-06,5.27E-07,0.420418889,0.595072588
3.76E-06,1.18E-06,0.478937828,0.529302678
4.07E-06,1.07E-06,0.51836471,0.48704972
4.34E-06,9.45E-07,0.51836471,0.48704972
4.26E-06,1.25E-06,0.540688526,0.461713328
4.17E-06,1.42E-06,0.540688526,0.461713328
4.49E-06,2.05E-06,0.556660366,0.444965887
4.72E-06,1.94E-06,0.556674459,0.444965887
6.00E-06,1.49E-06,0.565444292,0.435363271
6.23E-06,1.41E-06,0.565866996,0.435363271
7.10E-06,1.45E-06,0.572392348,0.429178296
2.38E-06,1.00E-07,0.2000001,0.933333433
2.84E-06,1.00E-07,0.238095338,0.857142957
2.20E-06,1.00E-07,0.29047629,0.838095338
3.36E-06,1.00E-07,0.306666767,0.755555656
3.36E-06,1.00E-07,0.306666767,0.755555656
3.90E-06,1.00E-07,0.379166767,0.6500001
3.91E-06,1.00E-07,0.379166767,0.6500001
4.31E-06,2.75E-07,0.450344582,0.565592073
4.31E-06,2.76E-07,0.450344582,0.565592073
4.20E-06,9.92E-07,0.476323454,0.532598043
4.23E-06,1.39E-06,0.517932939,0.487029062
4.27E-06,1.40E-06,0.517932939,0.487029062
4.64E-06,1.42E-06,0.54311851,0.459675494
4.73E-06,1.37E-06,0.54311851,0.459675494
5.17E-06,1.32E-06,0.55912053,0.442872537
4.88E-06,1.60E-06,0.559124007,0.442872537
5.53E-06,1.76E-06,0.569895476,0.430972288
5.68E-06,1.66E-06,0.569989221,0.430972288
6.67E-06,1.50E-06,0.577397941,0.423761345
2.36E-06,1.00E-07,0.2000001,0.933333433
2.67E-06,1.00E-07,0.222857243,0.887619148
2.50E-06,1.00E-07,0.2200001,0.906666767
3.09E-06,1.00E-07,0.248412798,0.836508037
3.14E-06,1.00E-07,0.248412798,0.836508037
3.35E-06,1.00E-07,0.31010111,0.741818282
3.35E-06,1.00E-07,0.31010111,0.741818282
3.63E-06,1.27E-07,0.313095338,0.723315118
3.64E-06,1.29E-07,0.313095338,0.723315118
3.90E-06,2.22E-07,0.374796825,0.646994265
3.64E-06,6.39E-07,0.394966905,0.623569552
3.69E-06,5.95E-07,0.394966905,0.623569552
3.65E-06,1.07E-06,0.444318746,0.565670244
3.68E-06,1.05E-06,0.444318746,0.565670244
4.01E-06,1.21E-06,0.459471659,0.547687993
4.01E-06,1.21E-06,0.459471659,0.547687993
4.19E-06,1.15E-06,0.486645409,0.517754753
4.02E-06,1.36E-06,0.486645409,0.517754753
4.49E-06,1.35E-06,0.497554454,0.505669757
2.38E-06,1.00E-07,0.2000001,0.933333433
2.83E-06,1.00E-07,0.238095338,0.857142957
2.19E-06,1.00E-07,0.276190576,0.838095338
3.34E-06,1.00E-07,0.306666767,0.755555656
3.34E-06,1.00E-07,0.306666767,0.755555656
3.94E-06,1.00E-07,0.379166767,0.6500001
3.94E-06,1.00E-07,0.379166767,0.6500001
4.06E-06,2.75E-07,0.420182436,0.59568671
4.04E-06,2.93E-07,0.420182436,0.59568671
3.81E-06,9.16E-07,0.471284389,0.537550511
4.22E-06,1.33E-06,0.509085415,0.495653206
4.34E-06,1.22E-06,0.509085415,0.495653206
3.86E-06,1.76E-06,0.535911563,0.466640208
3.99E-06,1.54E-06,0.535927527,0.466640208
4.81E-06,1.65E-06,0.553421673,0.448018562
4.97E-06,1.52E-06,0.553446294,0.448018562
5.51E-06,1.52E-06,0.562708346,0.438327218
5.81E-06,1.36E-06,0.56319661,0.438327218
6.80E-06,1.25E-06,0.569752871,0.432011224
2.48E-06,1.00E-07,0.2000001,0.933333433
3.02E-06,1.00E-07,0.263888989,0.805555656
2.39E-06,1.00E-07,0.305555656,0.783333433
3.82E-06,1.00E-07,0.346153946,0.692307792
3.85E-06,1.00E-07,0.346153946,0.692307792
4.19E-06,4.09E-07,0.422078022,0.597402697
4.22E-06,4.10E-07,0.422078022,0.597402697
4.40E-06,7.44E-07,0.457317173,0.552439124
4.19E-06,1.01E-06,0.457317173,0.552439124
4.62E-06,1.18E-06,0.501367154,0.503417735
5.26E-06,1.81E-06,0.527694679,0.475111634
5.85E-06,1.38E-06,0.527694679,0.475111634
6.50E-06,1.85E-06,0.541009635,0.460160245
6.81E-06,1.77E-06,0.541069281,0.460160245
8.95E-06,1.05E-06,0.548486665,0.452401124
9.44E-06,1.05E-06,0.549051439,0.452401124
9.69E-06,2.63E-06,0.553010143,0.448410842
9.50E-06,3.25E-06,0.555029631,0.448410842
1.06E-05,3.48E-06,0.555781003,0.446434149
2.36E-06,1.00E-07,0.2000001,0.933333433
2.46E-06,1.00E-07,0.215238195,0.902857243
2.43E-06,1.00E-07,0.223809624,0.912381052
3.06E-06,1.00E-07,0.26031756,0.826190576
3.32E-06,1.00E-07,0.26031756,0.826190576
3.50E-06,1.00E-07,0.303156943,0.75040969
3.53E-06,1.00E-07,0.303156943,0.75040969
4.04E-06,2.13E-07,0.346673019,0.683137504
3.75E-06,5.10E-07,0.346673019,0.683137504
4.15E-06,7.31E-07,0.39517928,0.621020216
4.48E-06,7.43E-07,0.447340253,0.561385473
4.53E-06,7.56E-07,0.447340253,0.561385473
4.54E-06,1.30E-06,0.470830284,0.533741757
4.65E-06,1.30E-06,0.470830284,0.533741757
